algorithm,heap_type,graph_source,graph_family,graph_size,graph_parameters,seed,start_vertex,output_value,comparison_count,cut_count,decrease_key_count,distance_checksum,edge_scan_count,extract_min_count,graph_average_degree,graph_directed,graph_maximum_degree,graph_num_edges,graph_num_vertices,insert_count,link_count,meld_count,mst_weight,node_allocation_count,peak_size,pointer_traversal_count,reachable_output_count,reachable_vertex_count,relax_attempt_count,successful_decrease_key_count,successful_key_update_count,successful_relax_count,swap_count,visited_vertex_count
dijkstra,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",4,11182,12779984.0,172689,0,2461,12779984.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,,0,361,0,11183,11183,17875,2461,,13643,79209,
dijkstra,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",4,11182,12779984.0,140493,2460,2461,12779984.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,138032,138032,,11183,361,138424,11183,11183,17875,2461,,13643,0,
dijkstra,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",4,11182,12779984.0,204879,1015,2461,12779984.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,74698,0,,11183,361,468727,11183,11183,17875,2461,,13643,0,
prim,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",4,0,236767.0,277888,0,4760,,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,236767.0,0,1120,0,,,,4760,15942,,169561,11183
prim,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",4,0,236767.0,58874,4581,4760,,35750,11183,3.1968165966198696,False,8,17875,11183,11183,54114,54114,236767.0,11183,1120,55611,,,,4760,15942,,0,11183
prim,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",4,0,236767.0,127829,3434,4760,,35750,11183,3.1968165966198696,False,8,17875,11183,11183,27805,0,236767.0,11183,1120,259502,,,,4760,15942,,0,11183
dijkstra,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",5,0,12388551.0,169355,0,2525,12388551.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,,0,324,0,11183,11183,17875,2525,,13707,77575,
dijkstra,pairing,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",5,0,12388551.0,137585,2524,2525,12388551.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,135060,135060,,11183,324,135711,11183,11183,17875,2525,,13707,0,
dijkstra,fibonacci,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",5,0,12388551.0,200852,1018,2525,12388551.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,72710,0,,11183,324,458296,11183,11183,17875,2525,,13707,0,
dijkstra,binary,snap,snap_roadNet-CA,11183,"dataset=roadNet-CA,component=largest,max_edges=50000",5,5591,12311922.0,169457,0,2512,12311922.0,35750,11183,3.1968165966198696,False,8,17875,11183,11183,0,0,,0,293,0,11183,11183,17875,2512,,13694,77632,
