graph_source,graph_family,graph_size,graph_num_edges,graph_average_degree,graph_maximum_degree,graph_parameters,seed,algorithm,heap_type,start_vertex,output_value,runtime_ms,mean_runtime_ms,median_runtime_ms,min_runtime_ms,max_runtime_ms,repeats,runtime_measurement,rss_measurement,max_rss_kbytes,median_max_rss_kbytes,reachable_vertex_count,visited_vertex_count,edge_scan_count,relax_attempt_count,successful_relax_count,successful_key_update_count,priority_queue_memory_bytes
synthetic,medium_er_np,50,199,7.96,15,"n=50,p=0.12",0,prim,pairing,0,737,0.034159,0.0434367,0.034159,0.024096,0.072055,3,in_process_steady_clock,child_process_wait4,22136,22136,,50,398,,,117,2800
synthetic,medium_er_np,50,199,7.96,15,"n=50,p=0.12",0,prim,fibonacci,0,737,0.041212,0.0504623,0.041212,0.027788,0.082387,3,in_process_steady_clock,child_process_wait4,22136,22136,,50,398,,,117,3712
synthetic,medium_er_np,100,484,9.68,17,"n=100,p=0.08",0,dijkstra,binary,0,4923,0.055649,0.0731547,0.055649,0.038988,0.124827,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,968,484,185,,2448
synthetic,medium_er_np,100,484,9.68,17,"n=100,p=0.08",0,dijkstra,pairing,0,4923,0.088196,0.0960527,0.088196,0.073522,0.12644,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,968,484,185,,5600
synthetic,medium_er_np,100,484,9.68,17,"n=100,p=0.08",0,dijkstra,fibonacci,0,4923,0.09475,0.107502,0.09475,0.082872,0.144883,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,968,484,185,,6912
synthetic,medium_er_np,100,484,9.68,17,"n=100,p=0.08",0,dijkstra,binary,50,6730,0.056642,0.073699,0.056642,0.054709,0.109746,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,968,484,189,,2448
synthetic,medium_er_np,100,484,9.68,17,"n=100,p=0.08",0,dijkstra,pairing,50,6730,0.08719,0.0951043,0.08719,0.071206,0.126917,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,968,484,189,,5600
synthetic,medium_er_np,100,484,9.68,17,"n=100,p=0.08",0,dijkstra,fibonacci,50,6730,0.097428,0.109239,0.097428,0.084767,0.145523,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,968,484,189,,6912
synthetic,medium_er_np,100,484,9.68,17,"n=100,p=0.08",0,dijkstra,binary,99,5377,0.057388,0.0788107,0.057388,0.041158,0.137886,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,968,484,196,,2448
synthetic,medium_er_np,100,484,9.68,17,"n=100,p=0.08",0,dijkstra,pairing,99,5377,0.090236,0.0981733,0.090236,0.074023,0.130261,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,968,484,196,,5600
synthetic,medium_er_np,100,484,9.68,17,"n=100,p=0.08",0,dijkstra,fibonacci,99,5377,0.103406,0.112386,0.103406,0.084198,0.149554,3,in_process_steady_clock,child_process_wait4,22136,22136,100,,968,484,196,,6912
synthetic,medium_er_np,100,484,9.68,17,"n=100,p=0.08",0,prim,binary,0,1307,0.061347,0.0763827,0.061347,0.045145,0.122656,3,in_process_steady_clock,child_process_wait4,22136,22136,,100,968,,,240,2448
synthetic,medium_er_np,100,484,9.68,17,"n=100,p=0.08",0,prim,pairing,0,1307,0.077966,0.0878147,0.077966,0.065107,0.120371,3,in_process_steady_clock,child_process_wait4,22136,22136,,100,968,,,240,5600
synthetic,medium_er_np,100,484,9.68,17,"n=100,p=0.08",0,prim,fibonacci,0,1307,0.097762,0.105372,0.097762,0.077795,0.140559,3,in_process_steady_clock,child_process_wait4,22136,22136,,100,968,,,240,6912
synthetic,dense_er_np,25,108,8.64,13,"n=25,p=0.35",0,dijkstra,binary,0,1065,0.013786,0.019207,0.013786,0.007294,0.036541,3,in_process_steady_clock,child_process_wait4,22136,22136,25,,216,108,45,,612
synthetic,dense_er_np,25,108,8.64,13,"n=25,p=0.35",0,dijkstra,pairing,0,1065,0.019042,0.0281233,0.019042,0.011897,0.053431,3,in_process_steady_clock,child_process_wait4,22136,22136,25,,216,108,45,,1400
synthetic,dense_er_np,25,108,8.64,13,"n=25,p=0.35",0,dijkstra,fibonacci,0,1065,0.019309,0.0271483,0.019309,0.011411,0.050725,3,in_process_steady_clock,child_process_wait4,22136,22136,25,,216,108,45,,2112
synthetic,dense_er_np,25,108,8.64,13,"n=25,p=0.35",0,dijkstra,binary,12,992,0.013147,0.0188083,0.013147,0.007127,0.036151,3,in_process_steady_clock,child_process_wait4,22136,22136,25,,216,108,43,,612
