algorithm,heap_type,graph_source,graph_family,graph_size,graph_parameters,seed,start_vertex,output_value,comparison_count,cut_count,decrease_key_count,distance_checksum,edge_scan_count,extract_min_count,graph_average_degree,graph_directed,graph_maximum_degree,graph_num_edges,graph_num_vertices,insert_count,link_count,meld_count,mst_weight,node_allocation_count,peak_size,pointer_traversal_count,reachable_output_count,reachable_vertex_count,relax_attempt_count,successful_decrease_key_count,successful_key_update_count,successful_relax_count,swap_count,visited_vertex_count
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",5,4157,577395.0,84080,0,2327,577395.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1480,0,4158,4158,13422,2327,,6484,38914,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",5,4157,577395.0,67742,2327,2327,577395.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65415,65415,,4158,1480,65812,4158,4158,13422,2327,,6484,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",5,4157,577395.0,100132,885,2327,577395.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,35337,0,,4158,1480,220911,4158,4158,13422,2327,,6484,0,
prim,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",5,0,73456.0,101294,0,3196,,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,73456.0,0,1442,0,,,,3196,7353,,55780,4158
prim,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",5,0,73456.0,44944,3139,3196,,26844,4158,6.455988455988456,False,81,13422,4158,4158,41748,41748,73456.0,4158,1442,43734,,,,3196,7353,,0,4158
prim,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",5,0,73456.0,74588,1894,3196,,26844,4158,6.455988455988456,False,81,13422,4158,4158,21752,0,73456.0,4158,1442,152051,,,,3196,7353,,0,4158
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",6,0,305526.0,83624,0,2183,305526.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1501,0,4158,4158,13422,2183,,6340,38858,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",6,0,305526.0,67384,2183,2183,305526.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65201,65201,,4158,1501,65447,4158,4158,13422,2183,,6340,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",6,0,305526.0,99041,824,2183,305526.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,34917,0,,4158,1501,219284,4158,4158,13422,2183,,6340,0,
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",6,2079,401870.0,83964,0,2194,401870.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1496,0,4158,4158,13422,2194,,6351,39063,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",6,2079,401870.0,67408,2194,2194,401870.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65214,65214,,4158,1496,65591,4158,4158,13422,2194,,6351,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",6,2079,401870.0,99421,875,2194,401870.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,35231,0,,4158,1496,220219,4158,4158,13422,2194,,6351,0,
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",6,4157,467680.0,84310,0,2217,467680.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1566,0,4158,4158,13422,2217,,6374,39272,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",6,4157,467680.0,67376,2216,2217,467680.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65159,65159,,4158,1566,65604,4158,4158,13422,2217,,6374,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",6,4157,467680.0,99850,880,2217,467680.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,35585,0,,4158,1566,221276,4158,4158,13422,2217,,6374,0,
prim,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",6,0,72940.0,101243,0,3168,,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,72940.0,0,1437,0,,,,3168,7325,,55840,4158
prim,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",6,0,72940.0,44542,3110,3168,,26844,4158,6.455988455988456,False,81,13422,4158,4158,41374,41374,72940.0,4158,1437,44101,,,,3168,7325,,0,4158
prim,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",6,0,72940.0,75328,1901,3168,,26844,4158,6.455988455988456,False,81,13422,4158,4158,22030,0,72940.0,4158,1437,154028,,,,3168,7325,,0,4158
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",7,0,332619.0,83318,0,2212,332619.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1446,0,4158,4158,13422,2212,,6369,38567,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",7,0,332619.0,67278,2212,2212,332619.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65066,65066,,4158,1446,65757,4158,4158,13422,2212,,6369,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",7,0,332619.0,98979,867,2212,332619.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,35101,0,,4158,1446,219083,4158,4158,13422,2212,,6369,0,
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",7,2079,681537.0,83651,0,2218,681537.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1462,0,4158,4158,13422,2218,,6375,38867,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",7,2079,681537.0,67526,2218,2218,681537.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65308,65308,,4158,1462,65929,4158,4158,13422,2218,,6375,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",7,2079,681537.0,99130,826,2218,681537.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,35138,0,,4158,1462,219425,4158,4158,13422,2218,,6375,0,
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",7,4157,716028.0,83911,0,2242,716028.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1472,0,4158,4158,13422,2242,,6399,38913,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",7,4157,716028.0,67698,2242,2242,716028.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65456,65456,,4158,1472,65750,4158,4158,13422,2242,,6399,0,
dijkstra,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",7,4157,716028.0,99638,861,2242,716028.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,35274,0,,4158,1472,220402,4158,4158,13422,2242,,6399,0,
prim,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",7,0,72454.0,100668,0,3191,,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,72454.0,0,1403,0,,,,3191,7348,,55343,4158
prim,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",7,0,72454.0,44877,3140,3191,,26844,4158,6.455988455988456,False,81,13422,4158,4158,41686,41686,72454.0,4158,1403,43808,,,,3191,7348,,0,4158
prim,fibonacci,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",7,0,72454.0,74522,1944,3191,,26844,4158,6.455988455988456,False,81,13422,4158,4158,21791,0,72454.0,4158,1403,151879,,,,3191,7348,,0,4158
dijkstra,binary,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",8,0,339319.0,84352,0,2253,339319.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,0,0,,0,1509,0,4158,4158,13422,2253,,6410,39123,
dijkstra,pairing,snap,snap_ca-GrQc,4158,"dataset=ca-GrQc,component=largest,max_edges=50000",8,0,339319.0,68081,2252,2253,339319.0,26844,4158,6.455988455988456,False,81,13422,4158,4158,65828,65828,,4158,1509,66134,4158,4158,13422,2253,,6410,0,
