algorithm,graph_source,graph_family,graph_size,graph_parameters,heap_type,row_count,runtime_measurement,rss_measurement,max_edge_scan_count,max_max_rss_kbytes,max_max_runtime_ms,max_mean_runtime_ms,max_median_max_rss_kbytes,max_median_runtime_ms,max_min_runtime_ms,max_priority_queue_memory_bytes,max_relax_attempt_count,max_runtime_ms,max_successful_key_update_count,max_successful_relax_count,mean_edge_scan_count,mean_max_rss_kbytes,mean_max_runtime_ms,mean_mean_runtime_ms,mean_median_max_rss_kbytes,mean_median_runtime_ms,mean_min_runtime_ms,mean_priority_queue_memory_bytes,mean_relax_attempt_count,mean_runtime_ms,mean_successful_key_update_count,mean_successful_relax_count,median_edge_scan_count,median_max_rss_kbytes,median_max_runtime_ms,median_mean_runtime_ms,median_median_max_rss_kbytes,median_median_runtime_ms,median_min_runtime_ms,median_priority_queue_memory_bytes,median_relax_attempt_count,median_runtime_ms,median_successful_key_update_count,median_successful_relax_count,min_edge_scan_count,min_max_rss_kbytes,min_max_runtime_ms,min_mean_runtime_ms,min_median_max_rss_kbytes,min_median_runtime_ms,min_min_runtime_ms,min_priority_queue_memory_bytes,min_relax_attempt_count,min_runtime_ms,min_successful_key_update_count,min_successful_relax_count
dijkstra,synthetic,dijkstra_decrease_key_stress,2101,"k=100,r=2000,C=2001,B=202201,rank=alternating_reverse",pairing,1,in_process_steady_clock,child_process_wait4,202100.0,22136.0,10.0501,8.22074,22136.0,8.71884,5.89332,117656.0,202100.0,8.71884,,202100.0,202100.0,22136.0,10.0501,8.22074,22136.0,8.71884,5.89332,117656.0,202100.0,8.71884,,202100.0,202100.0,22136.0,10.0501,8.22074,22136.0,8.71884,5.89332,117656.0,202100.0,8.71884,,202100.0,202100.0,22136.0,10.0501,8.22074,22136.0,8.71884,5.89332,117656.0,202100.0,8.71884,,202100.0
dijkstra,synthetic,grid_2d,100,"rows=10,cols=10",binary,30,in_process_steady_clock,child_process_wait4,360.0,22136.0,0.083653,0.053813,22136.0,0.067818,0.02856,912.0,180.0,0.067818,,136.0,360.0,13326.8,0.06355886666666667,0.03859696999999998,13326.8,0.032382266666666666,0.019849799999999994,758.4,180.0,0.032382266666666666,,125.9,360.0,12348.0,0.062813,0.03724935,12348.0,0.029936,0.0194965,656.0,180.0,0.029936,,126.0,360.0,12348.0,0.056138,0.0337023,12348.0,0.026809,0.01745,656.0,180.0,0.026809,,120.0
dijkstra,synthetic,grid_2d,100,"rows=10,cols=10",fibonacci,30,in_process_steady_clock,child_process_wait4,360.0,22136.0,0.110031,0.0692567,22136.0,0.061794,0.047381,6912.0,180.0,0.061794,,136.0,360.0,13326.8,0.10049703333333332,0.0628623,13326.8,0.04947966666666666,0.038610200000000004,6912.0,180.0,0.04947966666666666,,125.9,360.0,12348.0,0.100644,0.06243535,12348.0,0.048105,0.037763,6912.0,180.0,0.048105,,126.0,360.0,12348.0,0.094197,0.0578923,12348.0,0.043486,0.034758,6912.0,180.0,0.043486,,120.0
dijkstra,synthetic,grid_2d,100,"rows=10,cols=10",pairing,30,in_process_steady_clock,child_process_wait4,360.0,22136.0,0.099714,0.072329,22136.0,0.082058,0.045761,5600.0,180.0,0.082058,,136.0,360.0,13326.8,0.09375553333333332,0.06363262333333336,13326.8,0.05468176666666667,0.042460599999999994,5600.0,180.0,0.05468176666666667,,125.9,360.0,12348.0,0.093542,0.0628325,12348.0,0.051608,0.0424085,5600.0,180.0,0.051608,,126.0,360.0,12348.0,0.088063,0.0593993,12348.0,0.04689,0.039514,5600.0,180.0,0.04689,,120.0
dijkstra,synthetic,grid_2d,25,"rows=5,cols=5",binary,30,in_process_steady_clock,child_process_wait4,80.0,22136.0,0.026884,0.0136303,22136.0,0.009823,0.005177,356.0,40.0,0.009823,,34.0,80.0,13326.8,0.023981033333333332,0.012392466666666668,13326.8,0.0087494,0.004446966666666667,279.2,40.0,0.0087494,,29.6,80.0,12348.0,0.0245395,0.012541,12348.0,0.008771000000000001,0.0044535,228.0,40.0,0.008771000000000001,,29.5,80.0,12348.0,0.020087,0.0106897,12348.0,0.007887,0.003783,228.0,40.0,0.007887,,26.0
dijkstra,synthetic,grid_2d,25,"rows=5,cols=5",fibonacci,30,in_process_steady_clock,child_process_wait4,80.0,22136.0,0.084113,0.0344487,22136.0,0.019058,0.00926,2112.0,40.0,0.019058,,34.0,80.0,13326.8,0.04332536666666667,0.02032798666666667,13326.8,0.010418766666666666,0.0072398333333333325,2112.0,40.0,0.010418766666666666,,29.6,80.0,12348.0,0.041691,0.01944685,12348.0,0.009760000000000001,0.0072995,2112.0,40.0,0.009760000000000001,,29.5,80.0,12348.0,0.036435,0.0177097,12348.0,0.008236,0.006105,2112.0,40.0,0.008236,,26.0
dijkstra,synthetic,grid_2d,25,"rows=5,cols=5",pairing,30,in_process_steady_clock,child_process_wait4,80.0,22136.0,0.047104,0.0291153,22136.0,0.035325,0.014485,1400.0,40.0,0.035325,,34.0,80.0,13326.8,0.03759783333333334,0.01985308666666667,13326.8,0.013735533333333333,0.008225900000000001,1400.0,40.0,0.013735533333333333,,29.6,80.0,12348.0,0.037059499999999995,0.01932465,12348.0,0.012650999999999999,0.0077315000000000005,1400.0,40.0,0.012650999999999999,,29.5,80.0,12348.0,0.032215,0.0165683,12348.0,0.010655,0.006289,1400.0,40.0,0.010655,,26.0
dijkstra,synthetic,grid_2d,64,"rows=8,cols=8",binary,30,in_process_steady_clock,child_process_wait4,224.0,22136.0,0.063257,0.0313097,22136.0,0.021087,0.019074,512.0,112.0,0.021087,,87.0,224.0,13326.8,0.04504913333333334,0.025360159999999996,13326.8,0.019177533333333333,0.011853800000000001,512.0,112.0,0.019177533333333333,,78.53333333333333,224.0,12348.0,0.043858499999999995,0.024956350000000002,12348.0,0.0190745,0.011602000000000001,512.0,112.0,0.0190745,,78.5,224.0,12348.0,0.03866,0.0234677,12348.0,0.017475,0.010658,512.0,112.0,0.017475,,71.0
dijkstra,synthetic,grid_2d,64,"rows=8,cols=8",fibonacci,30,in_process_steady_clock,child_process_wait4,224.0,22136.0,0.114397,0.05542,22136.0,0.038525,0.032035,4608.0,112.0,0.038525,,87.0,224.0,13326.8,0.07157360000000001,0.040741243333333337,13326.8,0.028912899999999995,0.021737233333333335,4608.0,112.0,0.028912899999999995,,78.53333333333333,224.0,12348.0,0.0716845,0.0401895,12348.0,0.027906,0.021012,4608.0,112.0,0.027906,,78.5,224.0,12348.0,0.060656,0.0369013,12348.0,0.025324,0.01932,4608.0,112.0,0.025324,,71.0
dijkstra,synthetic,grid_2d,64,"rows=8,cols=8",pairing,30,in_process_steady_clock,child_process_wait4,224.0,22136.0,0.106497,0.0664547,22136.0,0.067427,0.027462,3584.0,112.0,0.067427,,87.0,224.0,13326.8,0.0689457,0.04259466333333333,13326.8,0.03452926666666667,0.024309033333333334,3584.0,112.0,0.03452926666666667,,78.53333333333333,224.0,12348.0,0.0669495,0.041588,12348.0,0.031939499999999996,0.0242045,3584.0,112.0,0.031939499999999996,,78.5,224.0,12348.0,0.059714,0.037799,12348.0,0.03003,0.022409,3584.0,112.0,0.03003,,71.0
